                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4224,                 2.5076,                 1.5865,                 1.2687,                 5.1019,                 1.4065,                 0.0039,                0.67847,                0.29092,                0.14824,                 1.4006,                 3.3918,                 1.9897,                 1.0497,                 8.6122,                 1.5342,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.3466,                 1.6628,                 1.4384,                 1.3033,                 3.9107,                   1.37,                0.66748,                0.05037,                0.24867,                0.13481,                 1.3715,                 3.1184,                 1.7402,                 1.1943,                 7.8992,                 1.5736,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.3346,                  1.588,                 1.4351,                 1.3591,                 3.2938,                 1.3893,                 0.5233,                0.18577,                 0.3177,                0.15068,                 1.4273,                 2.3843,                 1.8871,                 1.3376,                 6.2544,                 1.6668,              0.0015853,              0.0015853,              0.0015853
                      4,                 1.3206,                 1.4469,                 1.4086,                 1.3901,                 2.5611,                 1.3667,                0.35468,                0.25298,                0.21415,                0.09653,                 1.4903,                 3.0636,                 1.8259,                 1.3618,                 4.7906,                 1.6452,               0.001568,               0.001568,               0.001568
                      5,                 1.2445,                 1.2437,                 1.3691,                 1.3227,                 1.9937,                 1.3572,                0.49489,                0.43863,                0.46549,                0.25725,                 1.4944,                 1.9858,                 1.7254,                 1.4943,                 3.6558,                 1.6873,               0.001568,               0.001568,               0.001568
                      6,                 1.2084,                 1.1649,                 1.3397,                  1.327,                 1.7538,                  1.336,                0.52522,                0.43619,                0.45466,                 0.2312,                 1.6449,                 3.7382,                 1.9954,                 1.6253,                 4.0922,                 1.8247,               0.001535,               0.001535,               0.001535
                      7,                 1.2569,                 1.1479,                  1.357,                 1.3415,                 1.5788,                 1.3473,                0.61027,                0.65509,                0.63819,                0.35292,                 1.4279,                 1.2056,                  1.707,                 1.4071,                 1.9797,                 1.6457,               0.001502,               0.001502,               0.001502
                      8,                 1.2287,                 1.0563,                 1.3292,                 1.3506,                 1.4097,                 1.3399,                0.75923,                0.58926,                0.69879,                0.45237,                 1.1758,                 1.0737,                 1.4475,                  1.198,                 1.5596,                 1.4357,               0.001469,               0.001469,               0.001469
                      9,                 1.2384,                 1.0426,                 1.3628,                 1.2909,                 1.3519,                 1.3411,                0.76284,                0.72006,                0.80796,                0.48749,                 1.2127,                0.89782,                 1.5036,                 1.2444,                 1.1334,                 1.4515,               0.001436,               0.001436,               0.001436
                     10,                 1.1877,                0.97424,                 1.3277,                 1.2718,                 1.2815,                  1.317,                0.71482,                0.62617,                0.70879,                0.43395,                 1.2897,                 1.1693,                 1.5582,                   1.35,                 1.4547,                 1.5579,              0.0014029,              0.0014029,              0.0014029
